,year,quarter,month,latitude,longitude,depth,magnitude,dayPeriod,earthquakeCategory,depthCategory,cluster
467,2016,1,1,-7.969470978,107.4077072,48.0,3.604852058,Dawn,Minor,Shallow,7
472,2016,1,2,-8.765338898,111.2784653,41.0,3.708535683,Night,Minor,Shallow,16
478,2016,1,2,-8.126466751,107.8494034,19.0,3.549107178,Afternoon,Minor,Shallow,2
480,2016,1,2,-8.814783096,112.490036,40.0,3.588892355,Morning,Minor,Shallow,8
489,2016,1,2,-7.410321236,111.7988205,10.0,3.669655472,Evening,Minor,Shallow,-1
501,2016,1,2,-7.676790237,105.9635391,10.0,4.210128979,Night,Light,Shallow,3
528,2016,1,2,-8.138305664,107.8793945,19.0,3.892120947,Morning,Minor,Shallow,2
529,2016,1,2,-7.756982327,106.4442902,10.0,3.667732656,Morning,Minor,Shallow,6
530,2016,1,2,-7.779058933,106.8766022,36.0,4.257541088,Afternoon,Light,Shallow,14
570,2016,1,2,-7.2086339,105.2956619,38.0,3.987197546,Evening,Minor,Shallow,1
578,2016,1,2,-7.35503149,107.7127457,10.0,4.156675087,Evening,Light,Shallow,9
580,2016,1,2,-8.524402618,107.1575012,10.0,3.768725218,Evening,Minor,Shallow,-1
581,2016,1,2,-8.890767097,111.4658356,61.0,3.7015435458333332,Evening,Great,Shallow,16
584,2016,1,2,-8.413733482,109.0084534,15.0,4.393845742,Evening,Light,Shallow,13
589,2016,1,3,-8.803254128,108.1717758,10.0,4.103269098,Night,Light,Shallow,-1
594,2016,1,3,-8.131251335,107.3740234,10.0,4.654954393,Evening,Light,Shallow,7
595,2016,1,3,-7.697632313,106.04245,10.0,3.63510808,Afternoon,Minor,Shallow,3
597,2016,1,3,-7.900116444,106.4596329,10.0,4.340530453,Afternoon,Light,Shallow,6
606,2016,1,3,-8.932871819,111.4385071,10.0,3.643228319,Afternoon,Minor,Shallow,16
607,2016,1,3,-8.899641991,111.4230118,26.0,4.269286236,Morning,Light,Shallow,16
615,2016,1,3,-8.994986534,112.7516022,10.0,4.369702734,Morning,Light,Shallow,-1
619,2016,1,3,-7.926200867,107.2617416,39.0,3.632492697,Afternoon,Minor,Shallow,4
623,2016,1,3,-8.235518456,107.9218826,37.0,4.061356752,Evening,Light,Shallow,2
629,2016,1,3,-7.275253773,105.326683,10.0,3.515720891,Dawn,Minor,Shallow,1
638,2016,1,3,-7.617151737,105.9075623,10.0,4.078933443,Night,Light,Shallow,3
641,2016,1,3,-7.875709534,107.2183075,36.0,4.149085971,Afternoon,Light,Shallow,4
642,2016,1,3,-8.285420418,108.2316895,19.0,3.914440866,Afternoon,Minor,Shallow,17
643,2016,2,4,-7.85981369,107.236969,31.0,3.955066875,Evening,Minor,Shallow,4
647,2016,2,4,-8.543811798,109.0273361,68.0,3.736903379,Afternoon,Minor,Shallow,21
