longitude,latitude,magnitude,depth,year,area,cluster
106.9101944,-6.538208485,5.029083817,10.0,2020,5,-1
106.6107788,-6.783432007,5.024119542,10.0,2020,5,23
107.3502808,-6.7409935,3.604047546,3.0,2020,5,-1
107.8736649,-8.064377785,3.705076249,20.0,2020,20,2
110.9728699,-8.937049866,3.780607062,57.0,2020,7,19
108.8577576,-8.602239609,4.332080311,10.0,2020,6,14
105.5673752,-7.021215439,4.137934375,25.0,2020,16,20
106.5792236,-7.838786602,4.654241544,34.0,2020,11,7
107.9194183,-8.306652069,3.509173102,10.0,2020,20,2
107.1249313,-7.761162281,3.618079898,36.0,2020,8,-1
105.9172745,-7.57079792,4.089140599,10.0,2020,1,4
105.8741531,-7.602804184,3.545188242,10.0,2020,1,4
107.8701096,-8.093369484,3.690686073,19.0,2020,20,2
106.9531326,-7.883131981,3.553658941,12.0,2020,8,15
105.4377365,-7.309344769,3.6729408,24.0,2020,16,-1
106.1774368,-7.405426502,3.907698555,49.0,2020,9,4
107.8910675,-8.196154594,4.484158226,20.0,2020,20,2
106.3231659,-6.882854939,3.641109723,10.0,2020,5,-1
111.2283096,-8.462255478,3.722190763,10.0,2020,21,-1
105.4862289,-7.152517319,3.557819699,10.0,2020,16,1
112.4854965,-8.905104637,4.524809574,36.0,2020,3,9
111.2745132,-8.969952583,4.518688047,27.0,2020,7,16
106.9289474,-7.776536942,4.5301463,29.0,2020,11,15
106.4969254,-7.05348444,3.644979649,10.0,2020,5,-1
107.8785553,-8.236293793,3.544383065,10.0,2020,20,2
106.7049942,-7.500636578,4.651381184,11.0,2020,11,7
108.2003174,-8.174068451,4.82781559,29.0,2020,20,17
108.2202072,-8.207044601,3.981553526,28.0,2020,20,17
110.0873032,-7.778615952,5.334478719,10.0,2020,10,-1
106.4322586,-7.687558174,4.540401913,12.0,2020,11,7
106.5451584,-7.771173,3.778388193,13.0,2020,11,7
106.063179,-7.38318491,3.675810906,30.0,2020,9,4
108.1351852,-8.360696793,4.927781254,10.0,2020,22,6
107.8704834,-8.080752373,4.71161646,65.0,2020,20,2
110.8347015,-8.961758614,4.680904056,10.0,2020,7,-1
106.9132614,-7.696704865,4.24999517,17.0,2020,11,15
107.3549347,-7.664888859,3.987893512,69.0,2020,8,-1
107.861908,-8.082810402,3.855799708,17.0,2020,20,2
107.2143707,-7.803602695,4.003114204,33.0,2020,8,5
107.8759003,-8.118471146,4.635552158,65.0,2020,20,2
106.6875839,-7.567862034,3.900181356,26.0,2020,11,7
106.0188904,-7.483985901,3.934886923,25.0,2020,1,4
108.4558792,-8.379385948,3.929086369,10.0,2020,22,11
106.0843124,-7.061790943,4.157201053,19.0,2020,9,4
107.2769623,-7.823471069,3.960898635,21.0,2020,8,5
107.2515869,-7.773008823,3.906680793,21.0,2020,8,5
105.4186172,-7.40113306,5.008574922,10.0,2020,16,-1
107.2677765,-7.80706358,3.571256656,24.0,2020,8,5
105.9061432,-7.232601166,4.498190716,17.0,2020,9,4
111.1503067,-8.992337227,3.772519565,10.0,2020,7,-1
113.9014587,-6.514848232,5.820788988,10.0,2020,12,-1
107.9084854,-8.263055801,3.532371363,10.0,2020,20,2
106.4619522,-7.752978802,4.008560445,11.0,2020,11,7
107.8708878,-8.231860161,4.136109445,10.0,2020,20,2
110.5270767,-8.99236393,3.92269996,40.0,2020,0,22
112.2547607,-7.655130863,5.417680557,10.0,2020,18,-1
106.0775299,-7.317730427,4.059354396,23.0,2020,9,4
107.7161331,-7.23862648,3.529349529,10.0,2020,15,10
106.3709946,-7.06655407,5.490851732,10.0,2020,9,-1
106.9147415,-7.6887784,4.399289849,18.0,2020,11,15
111.2752151,-7.397469997,5.053441668,10.0,2020,18,-1
110.1854477,-6.650591373,7.89469772,10.0,2020,4,-1
112.0602188,-8.913305283,3.514970489,10.0,2020,3,-1
109.0625,-8.425820351,3.525749475,28.0,2020,6,14
106.8909073,-7.723791599,4.573674864,17.0,2020,11,15
109.8828201,-8.775797844,4.49801878,45.0,2020,17,-1
111.2072601,-7.814626694,4.47462481,10.0,2020,10,-1
107.8895645,-8.135375977,3.748511718,21.0,2020,20,2
107.3277283,-8.151786804,4.335414843,26.0,2020,2,8
106.2969055,-6.782419682,3.60099877,10.0,2020,5,-1
113.2698212,-7.2191782,5.236389476,10.0,2020,18,-1
108.4811783,-8.573872566,3.806418507,10.0,2020,22,11
107.0218811,-7.887666225,4.440927952,11.0,2020,8,15
107.3541031,-8.009599686,3.531616872,16.0,2020,8,8
108.3106155,-6.298580647,4.819112502,10.0,2020,19,-1
106.0815506,-7.597282887,3.803465249,17.0,2020,1,4
106.7359467,-7.492545128,4.239460502,33.0,2020,11,7
107.033493,-6.637212276,4.272274271,6.0,2020,5,-1
113.2217407,-8.550254822,5.162422011,10.0,2020,3,-1
107.338913,-7.862246037,4.404834562,10.0,2020,8,5
107.0475464,-7.676785469,5.232975457,5.0,2020,11,-1
108.0691452,-7.693834782,4.774028051,10.0,2020,8,-1
110.3951111,-8.432228088,5.349505631,10.0,2020,17,-1
107.2730637,-8.04413414,4.417184529,10.0,2020,8,8
105.3918304,-7.036550045,3.939984538,10.0,2020,16,1
106.9086075,-7.971457958,3.634121445,10.0,2020,8,15
108.7202911,-8.666689873,3.970569775,10.0,2020,6,-1
106.5116196,-7.810968876,5.089665105,10.0,2020,11,7
107.3056488,-7.8328228,3.562403354,31.0,2020,8,5
112.5583496,-8.860332489,3.77005247,29.0,2020,3,9
105.7280884,-7.993667126,3.816216716,10.0,2020,1,-1
106.9881363,-7.834942341,3.712358507,10.0,2020,8,15
107.3309326,-8.09173584,4.053134513,10.0,2020,2,8
111.1344604,-8.696123123,3.806200095,8.0,2020,21,-1
110.8656693,-8.782248497,3.930127523,20.0,2020,7,-1
108.2294235,-8.291601181,4.235307259,10.0,2020,22,17
108.4517441,-8.866389275,4.969784391,10.0,2020,14,-1
110.6521606,-8.606028557,3.955729065,19.0,2020,21,-1
107.6914749,-5.37537384,5.479512684,10.0,2020,13,-1
106.593132,-7.978852749,3.704813188,10.0,2020,8,7
106.5816498,-7.728499413,3.705474711,10.0,2020,11,7
106.7167358,-7.841137409,3.663186081,10.0,2020,11,-1
110.8175583,-8.736838341,3.802848613,10.0,2020,21,-1
108.7667236,-8.320598602,4.136688395,24.0,2020,6,-1
108.0310135,-6.825218678,5.758387438,10.0,2020,23,-1
108.6351471,-8.503756523,3.623336144,44.0,2020,6,11
110.8619537,-8.6817379,3.755827732,26.0,2020,21,-1
107.7835693,-8.333631516,3.574683343,20.0,2020,20,2
108.1303711,-8.331428528,4.776531488,10.0,2020,22,6
106.271286,-7.018959999,3.595327218,10.0,2020,9,26
106.3087082,-6.981541157,4.437933115,10.0,2020,5,26
107.1690369,-8.726027489,4.016464026,10.0,2020,14,-1
106.3171692,-6.988249779,3.565660889,11.0,2020,5,26
107.8916245,-8.155957222,5.472525634,51.0,2020,20,2
107.8549881,-8.249461174,3.749344808,12.0,2020,20,2
107.8639679,-8.149982452,4.843379002,18.0,2020,20,2
106.3235168,-6.986313343,3.767144943,10.0,2020,5,26
108.7206116,-6.771321297,4.831723364,10.0,2020,23,-1
111.4986801,-8.922294617,3.610366636,10.0,2020,7,16
112.3515167,-8.692344666,4.981377264,49.0,2020,3,-1
111.2381287,-6.73800087,5.266361534,10.0,2020,4,-1
105.4128036,-7.181960106,3.569245506,10.0,2020,16,1
107.8453064,-8.622804642,3.940057867,10.0,2020,22,-1
107.5915604,-7.183951378,4.052531613,10.0,2020,15,-1
106.9670563,-7.720558167,3.52903087,27.0,2020,11,15
105.9798126,-7.520047665,4.700243487,60.0,2020,1,4
107.0086365,-8.317907333,3.566745264,10.0,2020,2,-1
107.6051636,-6.244724751,5.523181789,10.0,2020,19,-1
106.1635818,-7.775462627,3.844558329,11.0,2020,1,4
106.1429062,-7.838299751,3.569028276,11.0,2020,1,-1
