,year,quarter,month,latitude,longitude,depth,magnitude,dayPeriod,earthquakeCategory,depthCategory,area,cluster1_5
163,2015.0,2,5.0,-7.68360424,107.5428772,10.0,3.125112499,Morning,Minor,Shallow,3,0
164,2015.0,2,5.0,-8.005828857,107.026474,13.0,3.155069845,Evening,Minor,Shallow,3,0
165,2015.0,2,5.0,-7.99461174,108.8246384,90.0,3.245345123,Afternoon,Minor,Intermediate,3,4
166,2015.0,2,5.0,-7.470198154,111.8188934,10.0,2.835400716,Evening,Micro,Shallow,0,2
167,2015.0,2,5.0,-6.073328018,111.208313,17.0,4.027378179,Evening,Light,Shallow,1,2
168,2015.0,2,5.0,-8.190962791,107.2661743,10.0,3.853007775,Night,Minor,Shallow,3,0
169,2015.0,2,5.0,-7.256668091,107.6669998,10.0,3.304037469,Night,Minor,Shallow,1,2
170,2015.0,2,5.0,-8.072591782,110.4979706,10.0,3.685242198,Morning,Minor,Shallow,0,2
171,2015.0,2,5.0,-7.090734482,106.6328735,94.0,3.70484075,Morning,Minor,Intermediate,1,1
172,2015.0,2,5.0,-8.806938171,110.8877716,15.0,3.790630023,Evening,Minor,Shallow,0,2
173,2015.0,2,5.0,-8.009755135,110.525383,10.0,3.058149801,Evening,Minor,Shallow,0,2
174,2015.0,2,6.0,-7.344315052,110.4643326,237.0,3.808764211,Evening,Minor,Intermediate,0,1
175,2015.0,2,6.0,-8.14542675,111.3880463,131.0,4.117539581,Evening,Light,Intermediate,0,1
176,2015.0,2,6.0,-6.282092094,111.2180939,26.0,3.850599089,Afternoon,Minor,Shallow,1,3
177,2015.0,2,6.0,-8.104007721,107.0658493,15.0,3.674755724,Evening,Minor,Shallow,3,0
178,2015.0,2,6.0,-8.189517021,107.9592285,21.0,3.879286632,Dawn,Minor,Shallow,3,4
179,2015.0,2,6.0,-7.991036415,106.6499634,68.0,3.860144948,Afternoon,Minor,Shallow,2,4
180,2015.0,2,6.0,-7.255092621,109.0514374,209.0,3.508447193,Afternoon,Minor,Intermediate,1,1
